r_wrist_y_range,l_wrist_y_range,chin_y_range,hip_y_range,neck_hip_angle_mean,neck_forward_shift,frames,r_elbow_shoulder_dx_mean,l_elbow_shoulder_dx_mean,r_elbow_range,l_elbow_range,label
21.0,38.0,51.0,22.5,0.9783670818586355,4.267441860465116,43,67.86046511627907,72.30232558139535,79.38186132475307,63.71927804298549,correct
50.0,45.0,18.0,27.0,1.0817676224498065,3.6818181818181817,22,56.86363636363637,61.90909090909091,91.36220987479297,44.05459104116064,partial_motion
29.0,34.0,7.0,11.5,1.894167873525915,7.7407407407407405,27,44.111111111111114,53.22222222222222,75.23590679537499,68.44445578884344,no_chin_lift
30.0,30.0,11.0,11.5,1.9846713213670988,8.128571428571428,35,43.457142857142856,46.285714285714285,81.72997243532615,70.38091528479656,no_chin_lift
31.0,28.0,6.0,12.0,2.523837131021368,10.233333333333333,30,51.06666666666667,44.63333333333333,36.46665695841336,30.180122299533124,partial_motion
24.0,25.0,4.0,12.5,2.5681661706717045,10.485294117647058,34,48.911764705882355,40.85294117647059,33.17161446727602,37.9048834334947,partial_motion
28.0,21.0,26.0,11.0,2.158576181105335,8.736842105263158,19,45.78947368421053,44.0,66.63837914282357,36.42278963136627,too_fast
24.0,19.0,19.0,11.5,2.466096761816733,9.619047619047619,21,53.904761904761905,49.476190476190474,36.00901806963717,30.407013574034774,too_fast
33.0,21.0,11.0,17.0,2.0637715226813125,7.98,25,78.92,82.04,22.60806952428043,20.313250739477123,shoulder_shrugging
27.0,18.0,8.0,18.5,2.727048667567049,10.615384615384615,26,72.26923076923077,78.5,20.715353878900657,17.19590016932724,shoulder_shrugging
39.0,35.0,8.0,13.0,3.3609942938547293,12.954545454545455,33,65.78787878787878,67.33333333333333,74.04200620890427,25.78831340850321,shoulder_shrugging
37.0,26.0,38.0,14.0,0.5825176998492282,0.875,24,63.333333333333336,68.70833333333333,91.58207219246013,37.43427983686194,correct
30.0,34.0,8.0,12.5,0.6909321750529095,1.7727272727272727,33,54.515151515151516,51.78787878787879,69.22880843115935,49.485977744036184,no_chin_lift
34.0,33.0,9.0,15.5,0.5408295760202829,0.7162162162162162,37,40.86486486486486,34.2972972972973,104.7984108696579,70.00531200869978,no_chin_lift
49.0,44.0,43.0,26.5,0.8039030462845309,0.0,48,62.791666666666664,72.02083333333333,103.24355770987947,69.58783821576063,correct
40.0,51.0,48.0,23.0,1.7506336953394526,5.6022727272727275,44,65.1590909090909,72.04545454545455,88.94217579830789,59.78273138618952,correct
39.0,61.0,66.0,12.5,0.9432538971002326,1.6071428571428572,42,74.16666666666667,80.4047619047619,131.94838838555935,119.63365224744294,correct
14.0,14.0,29.0,11.5,3.7777915697105016,-10.916666666666666,36,78.36111111111111,77.69444444444444,25.17359383303554,66.49876094192743,correct
14.0,18.0,24.0,11.5,4.414731429087371,-13.102564102564102,39,71.43589743589743,70.41025641025641,46.975848687652245,157.98930299854663,correct
